title,price,alcohol,variety,value,vintage,img_url,grape_id,region_id,description,is_deleted
Old Mates Pinot Noir,30,12.5,RED,NON_ORGANIC,2024,https://cdn.goodpairdays.com/upload/productphoto/63b3c754581b9-old-mates-pinot-noir-2022/f5b4cd79dbf377abd56ab280ee29aa11.png,1,1,"Floral and flirty, this Pinot Noir seriously overdelivers. From a single vineyard in Stellenbosch, it offers a mix of ripe red berries, a hint of white pepper, bright acidity, and fine tannins. Soft and juicy, it drinks beautifully both chilled and at room temperature. The wine is made by Mick & Jeanine Craven — an Australian–South African duo who met during harvest in Sonoma (USA) in 2007. After years of winemaking experience across the globe, they settled in Stellenbosch in 2011 and launched Craven Wines — a label that expresses the uniqueness of local vineyards.",False
Funkstille 'Skin Contact',26,12.5,ORANGE,VEGAN,2020,https://haywines.co.uk/cdn/shop/files/ASFunkstilleOrangeWine.jpg?v=1683893376,2,2,"A perfect ‘gateway’ orange wine — a gentle intro to skin contact styles. Made from Riesling, Grüner Veltliner, and Traminer, with a week on skins, it’s packed with tropical notes: peach, apricot, and ginger. Funkstille means 'radio silence' — a nod to calm, mindful winemaking. Grown in southern Kremstal near the Danube, the sustainably certified vineyards and energy-neutral winery reflect a deep respect for nature. And the wines? Just as thoughtful — and delicious.",False
Domaine Gayda 'Sphère',29,14,RED,VEGAN,2023,https://www.domainegayda.com/content/uploads/2024/07/gayda-shpere-syrah-2024-1.png,3,3,"The ‘Sphère’ Syrah is a bold expression of Languedoc terroir — vibrant blue fruits, smoky meat, black olives and pepper, with firm tannins and plenty of character. Grab a big glass! Domaine Gayda, founded by British–South African duo Tim and Anthony, blends old world tradition with new world flair. Located near Carcassonne, the winery offers a warm, modern cellar door experience and produces wines full of local stories, personality, and a strong sense of place.",False
Jauma 'Origins' Skin Contact,38,13.5,ORANGE,NATURAL,2021,https://goodwine.com.ua/media/catalog/product/cache/6fcc3261ae04eb835842842bdcf655db/r/9/r9828.png?auto=webp&format=png&width=960&height=1200&fit=cover,4,4,"You don’t often see Arneis from South Australia — let alone as a skin-contact wine — making this a rare gem. Grown in Kuitpo (Adelaide Hills) and left on skins for two weeks, it bursts with marmalade, cooked pear, and peach, balanced by zesty acidity and a touch of tannin. James Erskine, once Sommelier of the Year and now a boundary-pushing winemaker, crafts wines with zero additions — no sulphur since 2015. His approach is wild, intuitive, and rule-breaking in the best way. With help from Fiona Wood, he farms biologically, using compost teas and diverse cover crops to grow healthier vines and more expressive wines.",False
Cobaw Ridge 'Pyrenees' Rosé,41,12.3,ROSE,ORGANIC,2023,https://marketwinestore.com.au/cdn/shop/files/CobawRydgePyreneesRose.png?crop=center&height=1600&v=1753270535&width=1200,3,4,"A kindred spirit to the beloved ‘Il Pinko’ rosé, this serious Syrah rosé from Cobaw Ridge is fermented in oak and amphora, resulting in a pale copper wine bursting with grapefruit, cherry stem, chalk and bitter herbs. Zesty, wild, and full of personality. Cobaw Ridge, a biodynamic pioneer in the cool-climate Macedon Ranges, has been led by the Cooper family since 1985. Alan and his son Joshua craft thoughtful, low-intervention wines that reflect the land — complex, textural, and never ordinary. Il Pinko is rosé for thinkers.",False
Vino Friendo 'Rosato',32,12.5,ROSE,NATURAL,2024,https://www.vinofriendo.com.au/cdn/shop/files/friendorosatoimage.png?v=1748237326&width=823,5,4,"Say hello to a rosé with personality. Made from Aleatico and Chenin Blanc, it’s light but zippy, with notes of blood orange, tomato juice, and a funky, yeasty edge. Way more exciting than your average pink drink — and still super fresh. Angus Raddon — chef, artist, and wine guy — is behind the Vino Friendo label, crafting fun, low-intervention wines from Canberra and Hilltops fruit. With help from legends like Hamish Young and the Martin family, this shape-shifting project brings natural wine to the people.",False
Billy Button 'Col Fondo',35,10.5,PROSECCO,VEGAN,2023,https://images.commerce7.com/billy-button-wines1/images/large/colfondo_prosecco-1726798076092.avif,6,4,"The Billy Button ‘Col Fondo’ Prosecco is a vibrant, unfiltered fizz with notes of white flowers, ripe apple, and yeasty complexity — a playful twist on the classic. Based in the stunning Alpine Valleys, Australia’s highest wine region, Billy Button is the passion project of Jo Marsh and Glenn James. Their wines celebrate regional diversity and bold experimentation, all named after the bright native Billy Button flower. Expect quality, character, and a touch of Alpine charm.",False
Sèt e Mèz Pét Nat Rosé,36,12,SPARKLING,ORGANIC,2023,https://cdn.goodpairdays.com/upload/productphoto/684a57724d448-mi/04aa3c99eb19e30a3b928a8360e4d1a0.png,9,5,"This unique Pét Nat Rosé is made from Fortana — a rare, high-acid, savoury red grape native to Emilia-Romagna. Expect bright, fruit-forward flavours of wild strawberry, raspberry, and tangy plum, with a lightly saline, vermouth-like spice and amaro bitterness. Sèt e Mèz is true farmer fizz — approachable, quirky, and dangerously drinkable. Mirco Mariotti grows his grapes just 300m from the Adriatic Sea in eastern Romagna, where vines are over 100 years old and shaped by salty winds. He crafts old-school bottle-fermented wines from local grapes like Fortana and Trebbiano Romagnolo, drawing on deep tradition but with a fresh, modern edge. Many of his wines are even named after local card games — perfect with piadina and a game on the beach.",False
Lansdowne 'Super Plonk',28,12.5,SPARKLING,VEGAN,2023,https://images.squarespace-cdn.com/content/v1/64a6aaf176c38e6225dad8bf/1710127224743-BFG3AHQT99UPAMIBJIXU/Wine-SPlonk_Sq-min.jpg?format=1000w,8,4,"Bold, wild, and full of personality, this bright yellow Pet-Nat from Lansdowne blends Gewürztraminer and Sauvignon Blanc into a tropical, floral, lime-bubbled explosion. It’s like wine in real-time — vibrant, aromatic, and totally unforgettable. Eliza and Tosh craft small-batch, minimal-intervention wines in Adelaide Hills’ Forreston Valley, where slow-ripening grapes and a hands-off ethos deliver complexity, sustainability, and serious charm.",False
Old Mates Rosé,29,12,ROSE,VEGAN,2024,https://cdn.goodpairdays.com/upload/productphoto/67ac2578be5ec-old-mates-rose-2024/5b1fc57860d03a7701e81effd48b90d8.png,3,1,"This Syrah-based rosé is full of personality — spicy, complex, and seriously drinkable. With notes of pink grapefruit, dried peach, and cinnamon, plus zippy acidity, it’s just as suited to dinner as it is to summer sipping. Made under the Craven label by Aussie–South African duo Mick and Jeanine, who met during harvest in California and eventually settled in Stellenbosch. Their wines are pure expressions of South Africa’s unique vineyards, letting the grapes — and the region — speak for themselves.",False
